iteration,alg_id,alg_name,jobs_done,jobs_total,elapsed,delta
0,1,B-all,10000,583247,4,4
0,1,B-all,20000,583247,9,4
0,1,B-all,30000,583247,14,4
0,1,B-all,40000,583247,19,4
0,1,B-all,50000,583247,24,4
0,1,B-all,60000,583247,28,4
0,1,B-all,70000,583247,33,4
0,1,B-all,80000,583247,38,4
0,1,B-all,90000,583247,43,4
0,1,B-all,100000,583247,47,4
0,1,B-all,110000,583247,52,4
0,1,B-all,120000,583247,57,5
0,1,B-all,130000,583247,62,4
0,1,B-all,140000,583247,68,5
0,1,B-all,150000,583247,72,4
0,1,B-all,160000,583247,77,4
0,1,B-all,170000,583247,82,4
0,1,B-all,180000,583247,87,4
0,1,B-all,190000,583247,91,4
0,1,B-all,200000,583247,96,4
0,1,B-all,210000,583247,101,4
0,1,B-all,220000,583247,106,4
0,1,B-all,230000,583247,111,4
0,1,B-all,240000,583247,116,4
0,1,B-all,250000,583247,120,4
0,1,B-all,260000,583247,125,4
0,1,B-all,270000,583247,132,7
0,1,B-all,280000,583247,137,4
0,1,B-all,290000,583247,142,4
0,1,B-all,300000,583247,147,4
0,1,B-all,310000,583247,152,4
0,1,B-all,320000,583247,156,4
0,1,B-all,330000,583247,160,4
0,1,B-all,340000,583247,164,4
0,1,B-all,350000,583247,169,4
0,1,B-all,360000,583247,173,4
0,1,B-all,370000,583247,177,3
0,1,B-all,380000,583247,181,4
0,1,B-all,390000,583247,185,4
0,1,B-all,400000,583247,189,4
0,1,B-all,410000,583247,193,4
0,1,B-all,420000,583247,197,4
0,1,B-all,430000,583247,202,4
0,1,B-all,440000,583247,206,4
0,1,B-all,450000,583247,210,4
0,1,B-all,460000,583247,214,4
0,1,B-all,470000,583247,218,4
0,1,B-all,480000,583247,222,4
0,1,B-all,490000,583247,226,4
0,1,B-all,500000,583247,231,4
0,1,B-all,510000,583247,235,4
0,1,B-all,520000,583247,239,4
0,1,B-all,530000,583247,243,4
0,1,B-all,540000,583247,247,4
0,1,B-all,550000,583247,252,4
0,1,B-all,560000,583247,256,4
0,1,B-all,570000,583247,260,3
0,1,B-all,580000,583247,264,4
1,1,B-all,6753,583247,2,2
1,1,B-all,16753,583247,6,3
1,1,B-all,26753,583247,10,4
